Dataset,NetworkName,Encoding,1st Hidden Units,2nd Hidden Units,3rd Hidden Units,Window Size,Padding,Batch Size,LR,Epochs,ML_Dataset,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Recall,Precision,Specificity,F1 score,AUROC,Test Run Time (s),Train time (s)
GenBank,LSTMNet_GenBank_CAT_2_16_3_0_0,CAT,16,16,0,1,0,512,0.001,10,Train,[98478 51675 42724 49486 54428 69661 80637 82446 67288],[66887 19631 30423 35260 27468 13478  5221  9494 24377],[620527 727099 713900 703013 716124 730349 736324 731025 721896],[43170 30657 42015 41303 31042 15574  6880  6097 15501],"[0.86725118 0.9393435  0.91262656 0.90765106 0.92942627 0.96495799
 0.98540399 0.98119441 0.95189986]","[0.69523043 0.62764174 0.50418343 0.54506603 0.63680824 0.81728163
 0.9213867  0.9311408  0.81276498]","[0.595519   0.72469357 0.5840841  0.58393316 0.664599   0.83788595
 0.93919029 0.896737   0.73406426]","[0.90269765 0.97371071 0.95912662 0.95223989 0.96306039 0.9818802
 0.99295929 0.98717926 0.96733501]","[0.64152332 0.67268514 0.54120061 0.56383058 0.65040689 0.82745555
 0.93020332 0.91361513 0.77141252]",0.948558857,74.25801778,1966.995119
GenBank,LSTMNet_GenBank_CAT_2_16_3_0_0,CAT,16,16,0,1,0,512,0.001,10,Validation,[39212 13393 11372  8684 13859 16990 20829 18229 17785],[18422  5330  8235 10372  7695  3950  1400  2482  6523],[154720 198219 192397 195107 194512 200424 200609 202227 195472],[12408  7820 12758 10599  8696  3398  1924  1824  4982],"[0.86283269 0.94149367 0.90659898 0.90669686 0.92707397 0.96730764
 0.98521102 0.98084196 0.94881252]","[0.75962805 0.63135813 0.47128056 0.45034486 0.61445356 0.83333333
 0.91543972 0.90904104 0.78117451]","[0.68036229 0.7153234  0.57999694 0.45570949 0.6429897  0.81136581
 0.93701921 0.8801603  0.73165213]","[0.89360178 0.97381466 0.9589547  0.94952282 0.96194494 0.98067269
 0.99306962 0.98787547 0.96770712]","[0.71781354 0.67072316 0.52001738 0.45301129 0.62839783 0.82220286
 0.92610377 0.89436758 0.75560276]",0.9419490989,17.98078108,1966.995119
GenBank,LSTMNet_GenBank_CAT_2_16_3_0_0,CAT,16,16,0,1,0,512,0.001,10,Test,[28102 10253  8443  8976  7156  4201  3597  9754 15060],[30734 16530 10307 14004  8693  4335  4476  7074 13284],[108713 167185 171732 175854 180982 186695 193787 173888 171559],[37430 11011 14497  6145  8148  9748  3119 14263  5076],"[0.66745862 0.86563989 0.87899248 0.90170213 0.91784036 0.9312954
 0.96294742 0.89590641 0.91042985]","[0.42882866 0.48217645 0.36804708 0.59361153 0.46759017 0.30116854
 0.53558666 0.40612899 0.74791418]","[0.47763274 0.38281746 0.45029333 0.39060052 0.45151114 0.49215089
 0.44555927 0.57962919 0.53132938]","[0.77960085 0.91002368 0.94338026 0.92623961 0.95416897 0.97730723
 0.97742393 0.96090892 0.92813361]","[0.45191689 0.42679043 0.40503718 0.47116874 0.45941001 0.37367134
 0.48644263 0.47761048 0.62128713]",0.8526259244,16.30401373,1966.995119
GenBank,CNNLSTMNet_GenBank_CAT_2_16_3_0_0,CAT,16,16,0,3,0,512,0.001,10,Train,[90604 62869 17403 61865 70995 44826 76948 79135 62890],[54800 54537 12115 49305 60178   887  3657  8501 17547],[632614 692193 732208 688968 683414 742940 737888 732018 728726],[51044 19463 67336 28924 14475 40409 10569  9408 19899],"[0.87233283 0.9107425  0.9041676  0.90564156 0.90995486 0.95018949
 0.98284085 0.97839848 0.95483329]","[0.63964193 0.76360346 0.20537179 0.68141515 0.83064233 0.52591072
 0.87923489 0.89374654 0.75964198]","[0.62311903 0.53548371 0.58957246 0.55649006 0.54123181 0.98059633
 0.95463061 0.90299649 0.78185412]","[0.92028094 0.92696557 0.98372346 0.93321576 0.91907121 0.99880752
 0.9950684  0.98852021 0.97648716]","[0.63127238 0.62951466 0.30462904 0.6126491  0.65541005 0.68463818
 0.91538288 0.8983477  0.77058802]",0.9466123963,31.86320472,374.023576
GenBank,CNNLSTMNet_GenBank_CAT_2_16_3_0_0,CAT,16,16,0,3,0,512,0.001,10,Validation,[37619 16454  4585 11624 18503 10902 19921 17652 16785],[15978 13726  3106 14174 16073   326   854  1820  4660],[157164 189823 197526 191305 186134 204048 201155 202889 197335],[14001  4759 19545  7659  4052  9486  2832  2401  5982],"[0.86661891 0.91775745 0.89922229 0.90286169 0.91046084 0.95634493
 0.98360043 0.98122014 0.95265214]","[0.72876792 0.77565644 0.19001243 0.60281077 0.82035025 0.53472631
 0.8755329  0.88026729 0.73725128]","[0.7018863  0.54519549 0.59615135 0.45057756 0.53513998 0.97096544
 0.9588929  0.90653246 0.78269993]","[0.90771736 0.93256661 0.98451892 0.93101971 0.92051215 0.99840489
 0.99577247 0.99110933 0.97693012]","[0.71507456 0.64032067 0.28817448 0.51569397 0.64773941 0.68965081
 0.91531888 0.89320683 0.75929612]",0.9455271083,5.739619493,374.023576
GenBank,CNNLSTMNet_GenBank_CAT_2_16_3_0_0,CAT,16,16,0,3,0,512,0.001,10,Test,[18274 13490  3015  8264 10336  1106  3155  9493 14236],[26771 35585  3279 21925 16174   515  2437  6268 10656],[112676 148130 178760 167933 173501 190515 195826 174694 174187],[47258  7774 19925  6857  4968 12843  3561 14524  5900],"[0.63884593 0.78847101 0.88679816 0.85958562 0.89685773 0.93483235
 0.97073847 0.89856522 0.91923075]","[0.27885613 0.63440557 0.13142982 0.5465247  0.67537899 0.07928884
 0.46977367 0.39526169 0.70699245]","[0.40568321 0.27488538 0.47902765 0.27374209 0.38989061 0.68229488
 0.56419886 0.6023095  0.57191065]","[0.80802025 0.80630324 0.98198738 0.88451896 0.91472782 0.99730409
 0.98770825 0.96536289 0.94235108]","[0.33052081 0.38357099 0.20626668 0.36477599 0.49437987 0.14206808
 0.51267468 0.47729901 0.63231767]",0.8368843866,5.178303957,374.023576
GenBank,CNNNet_GenBank_CAT_2_16_3_0_0,CAT,16,16,0,3,0,512,0.001,10,Train,[99326 37168 33266 62348 21688 49863 79458 80013 60144],[124347  13917  40426  77820   2050   2387   8610  12731  23500],[563067 732813 703897 660453 741542 741440 732935 727788 722773],[42322 45164 51473 28441 63782 35372  8059  8530 22645],"[0.79896678 0.92873754 0.88915304 0.87182985 0.9205946  0.95445576
 0.97989415 0.97435536 0.94434071]","[0.7012171  0.45144051 0.39257013 0.68673518 0.25374985 0.58500616
 0.90791503 0.90366263 0.72647332]","[0.4440679  0.72757169 0.45141942 0.44480909 0.91364058 0.95431579
 0.90223464 0.86272966 0.71904739]","[0.81910901 0.98136274 0.94568756 0.89459184 0.99724311 0.99679092
 0.98838911 0.982808   0.96851018]","[0.54377383 0.55717038 0.41994307 0.53991003 0.39718702 0.72535913
 0.90506592 0.88272187 0.72274128]",0.9359194249,29.47724533,358.6402528
GenBank,CNNNet_GenBank_CAT_2_16_3_0_0,CAT,16,16,0,3,0,512,0.001,10,Validation,[39478  9755  8724 11422  5610 12440 20629 17794 16093],[32850  3525 11220 22286   734   725  2161  3051  6265],[140292 200024 189412 183193 201473 203649 199848 201658 195730],[12142 11458 15406  7861 16945  7948  2124  2259  6674],"[0.79982381 0.93333838 0.88153691 0.86587146 0.92134347 0.96141252
 0.98093539 0.97637501 0.94243244]","[0.76478109 0.45985952 0.36154165 0.59233522 0.24872534 0.61016284
 0.90664967 0.88734853 0.70685641]","[0.54581905 0.73456325 0.43742479 0.33885131 0.88430013 0.94492974
 0.90517771 0.85363396 0.7197871 ]","[0.81027134 0.9826823  0.94407672 0.89154123 0.99637006 0.99645258
 0.98930246 0.98509592 0.96898438]","[0.63700907 0.56562201 0.39587966 0.43109207 0.38824873 0.74151343
 0.90591309 0.8701648  0.71326316]",0.9323418085,5.30680871,358.6402528
GenBank,CNNNet_GenBank_CAT_2_16_3_0_0,CAT,16,16,0,3,0,512,0.001,10,Test,[27014  7643  5970 10721  2087  1786  4382  9214 13742],[42876 12822  9782 28180   712  1159  6425  7377 13087],[ 96571 170893 172257 161678 188963 189871 191838 173585 171756],[38518 13621 16970  4400 13217 12163  2334 14803  6394],"[0.60291542 0.87099654 0.86948907 0.84105689 0.9320467  0.93500798
 0.95726879 0.89179379 0.904961  ]","[0.41222609 0.35943378 0.26024412 0.70901395 0.13636958 0.12803785
 0.65247171 0.38364492 0.68245928]","[0.38652168 0.37346689 0.37899949 0.27559703 0.74562344 0.60645161
 0.40547793 0.55536134 0.51220694]","[0.69252834 0.93020711 0.94626426 0.85157328 0.99624621 0.99393289
 0.96759355 0.95923454 0.92919937]","[0.39896029 0.36631599 0.30859092 0.39691237 0.23056952 0.21143601
 0.50014267 0.45380221 0.58520175]",0.839055317,4.761497259,358.6402528
GenBank,LSTMNet_GenBank_CAT_2_32_3_0_0,CAT,16,32,0,1,0,512,0.001,10,Train,[100990  55282  45407  59643  65954  79380  84400  84492  72961],[41788 17017 20331 29232 25504  9590  6616  8241 22234],[645626 729713 723992 709041 718088 734237 734929 732278 724039],[40658 27050 39332 31146 19516  5855  3117  4051  9828],"[0.90055509 0.94684716 0.92803554 0.92717312 0.94569767 0.98137051
 0.98826023 0.98517361 0.96132738]","[0.71296453 0.67145217 0.53584536 0.65694082 0.77166257 0.93130756
 0.96438406 0.95424822 0.88128858]","[0.70732186 0.76463022 0.69072682 0.67108861 0.72113976 0.89221086
 0.92730948 0.91113196 0.76643731]","[0.93920985 0.97721131 0.97268525 0.96040489 0.96570162 0.98710722
 0.99107809 0.98887132 0.97020661]","[0.71013199 0.71501833 0.60350751 0.66393935 0.74554621 0.91134009
 0.94548347 0.9321918  0.81986021]",0.9648324714,96.34339547,2230.526785
