Dataset,NetworkName,Encoding,1st Hidden Units,2nd Hidden Units,3rd Hidden Units,Window Size,Padding,Batch Size,LR,Epochs,ML_Dataset,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Recall,Precision,Specificity,F1 score,AUROC,Test Run Time (s),Train time (s)
GenBank,CNNNet_GenBank_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Train,[69989 52827 44873 38963 68642 74617 81854 82506 68979],[30898 28274 44213 18247 49703 20308  9970 13578 30621],[656516 718456 700110 720026 693889 723519 731575 726941 715652],[71659 29505 39866 51826 16828 10618  5663  6037 13810],"[0.87629755 0.93030799 0.89858539 0.91547918 0.91975148 0.9626976
 0.98114375 0.97634073 0.94640811]","[0.49410511 0.64163387 0.52954366 0.42915992 0.8031122  0.87542676
 0.93529257 0.93181844 0.8331904 ]","[0.69373656 0.65137298 0.50370429 0.68105226 0.58001605 0.78606268
 0.89142272 0.85868615 0.69256024]","[0.95505183 0.96213625 0.94059971 0.97528421 0.93315824 0.97269795
 0.9865551  0.98166421 0.9589681 ]","[0.57714557 0.64646675 0.51630088 0.52653058 0.67357162 0.82834147
 0.91283086 0.89375877 0.7563943 ]",0.9432163624253875,23.267866373062134,152.75147604942322
GenBank,CNNNet_GenBank_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Validation,[28698 13716 11887  6873 17660 18152 21170 18382 18547],[ 9299  7354 12518  5391 14645  6241  2457  3753  8019],[163843 196195 188114 200088 187562 198133 199552 200956 193976],[22922  7497 12243 12410  4895  2236  1583  1671  4220],"[0.85664392 0.93392566 0.88983458 0.92080067 0.9130636  0.96228455
 0.98202543 0.97586781 0.94554685]","[0.55594731 0.64658464 0.49262329 0.35642794 0.78297495 0.89032764
 0.93042676 0.91667082 0.814644  ]","[0.75527015 0.65097295 0.48707232 0.56042074 0.5466646  0.74414791
 0.8960088  0.83044951 0.69814801]","[0.94629264 0.96387111 0.93760716 0.97376374 0.92757422 0.96946285
 0.98783718 0.98166666 0.960301  ]","[0.64045884 0.64877137 0.48983208 0.43573081 0.64382063 0.81070097
 0.91289349 0.87143263 0.75191049]",0.9367756902170792,2.4729862213134766,152.75147604942322
GenBank,CNNNet_GenBank_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Test,[14533 11573  9485  7463 10281  5566  4562 10328 15939],[15356 20690 13243  9787 15482  7183  8612  8413 16483],[124091 163025 168796 180071 174193 183847 189651 172549 168360],[50999  9691 13455  7658  5023  8383  2154 13689  4197],"[0.67628391 0.85178482 0.86975251 0.91489372 0.89996536 0.92406051
 0.94747755 0.89217432 0.89911162]","[0.22176952 0.5442532  0.41346992 0.49355201 0.67178515 0.39902502
 0.67927338 0.43002873 0.79156734]","[0.48623239 0.35870812 0.41732665 0.43263768 0.39906067 0.43658326
 0.34628814 0.55109119 0.49161063]","[0.88987931 0.88737991 0.92725185 0.94845095 0.91837617 0.96239858
 0.95656275 0.95350958 0.91082703]","[0.304608   0.43241728 0.41538933 0.46109172 0.50069399 0.41696007
 0.45872298 0.48309088 0.60652993]",0.8528353241419733,4.443882703781128,152.75147604942322
GenBank,LSTMNet_GenBank_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Train,[69200 52738 26537 31388 62968 71522 81208 82810 73373],[32690 34912 30532 19839 52476 19396 14168 19763 53542],[654724 711818 713791 718434 691116 724431 727377 720756 692731],[72448 29594 58202 59401 22502 13713  6309  5733  9416],"[0.87318439 0.922194   0.89297061 0.90442211 0.90956286 0.96006451
 0.975301   0.96924717 0.92406117]","[0.48853496 0.64055288 0.31316159 0.3457247  0.73672634 0.83911539
 0.92791115 0.9352518  0.88626508]","[0.6791638  0.60168853 0.46499851 0.61272376 0.54544195 0.78666491
 0.8514511  0.80732746 0.57812709]","[0.95244496 0.95324682 0.95898017 0.97312783 0.92942904 0.97392404
 0.98089394 0.97331196 0.92825414]","[0.56828914 0.62051276 0.37426661 0.4420347  0.62681545 0.81204408
 0.88803836 0.86659411 0.69977683]",0.9306304835348571,62.67103862762451,885.5347735881805
GenBank,LSTMNet_GenBank_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Validation,[29508 13814  6743  5765 16383 17477 21039 18584 20279],[ 9447  9019  8587  5696 14056  5498  3129  5601 14137],[163695 194530 192045 199783 188151 198876 198880 199108 187858],[22112  7399 17387 13518  6172  2911  1714  1469  2488],"[0.85958925 0.92695384 0.88443776 0.91451402 0.91000258 0.96258709
 0.97845276 0.9685445  0.92603287]","[0.5716389  0.65120445 0.27944467 0.298968   0.72635779 0.85721993
 0.92466927 0.92674413 0.89071902]","[0.75748941 0.60500153 0.43985649 0.50301021 0.53822399 0.76069641
 0.87053128 0.76841017 0.58923175]","[0.94543785 0.95569126 0.95720025 0.97227941 0.93048708 0.97309834
 0.98451059 0.97263921 0.93001312]","[0.65157052 0.62725333 0.34176381 0.37503253 0.61829641 0.80607892
 0.89678396 0.84018265 0.70926674]",0.9261423949333007,11.402113199234009,885.5347735881805
GenBank,LSTMNet_GenBank_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Test,[11493 11658  4879  5287  8595  4769  4321 10759 16822],[17069 27228  7933  8554 16130  7310  7423 10863 23886],[122378 156487 174106 181304 173545 183720 190840 170099 160957],[54039  9606 18061  9834  6709  9180  2395 13258  3314],"[0.65309617 0.82030354 0.87318701 0.91029325 0.88857883 0.91955273
 0.95210241 0.88232453 0.86730348]","[0.17537997 0.54825056 0.21268527 0.34964619 0.56161788 0.34188831
 0.64338892 0.44797435 0.83541915]","[0.40238779 0.29979941 0.38081486 0.38198107 0.34762386 0.39481745
 0.36793256 0.49759504 0.41323573]","[0.87759507 0.85179218 0.95642143 0.95494527 0.9149598  0.96173376
 0.96255983 0.93997082 0.87077682]","[0.24428763 0.38763092 0.27293578 0.3650991  0.42943866 0.36645151
 0.46814735 0.47148272 0.5529551 ]",0.8311534512791159,11.157189130783081,885.5347735881805
GenBank,CNNLSTMNet_GenBank_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Train,[79699 56640 33654 57014 59731 79190 80172 82288 59371],[37775 35716 30413 45850 31153 24049  8028 12937 15382],[649639 711014 713910 692423 712439 719778 733517 727582 730891],[61949 25692 51085 33775 25739  6045  7345  6255 23418],"[0.87971467 0.92593075 0.90169855 0.90395773 0.93137787 0.96370115
 0.98145736 0.97685095 0.95320012]","[0.56265531 0.68794636 0.39714889 0.62798357 0.6988534  0.92907843
 0.91607345 0.92935636 0.71713633]","[0.67843948 0.61327905 0.52529383 0.55426583 0.65722239 0.76705509
 0.90897959 0.86414282 0.79422899]","[0.94504767 0.95217013 0.95914005 0.9378956  0.95810471 0.96766856
 0.98917395 0.98252982 0.97938824]","[0.61514653 0.64847042 0.45232047 0.58882641 0.67739887 0.84032811
 0.91251273 0.89556397 0.75371647]",0.945344558485886,52.648723125457764,614.1846387386322
GenBank,CNNLSTMNet_GenBank_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Validation,[33616 14809  8560 10258 15482 19509 20843 18356 15834],[11671  8993  8459 13549  8646  6907  1933  3175  4162],[161471 194556 192173 191930 193561 197467 200076 201534 197833],[18004  6404 15570  9025  7073   879  1910  1697  6933],"[0.86797145 0.93149643 0.89309136 0.89956487 0.9300638  0.96535891
 0.98290191 0.97832374 0.95063667]","[0.65122046 0.69810965 0.35474513 0.53197117 0.686411   0.9568864
 0.91605503 0.91537426 0.6954803 ]","[0.74228807 0.62217461 0.50296727 0.43088167 0.64166114 0.73852968
 0.91512996 0.8525382  0.79185837]","[0.9325929  0.95581899 0.95783823 0.93406139 0.95724184 0.96620412
 0.99043112 0.98449018 0.97939553]","[0.69377857 0.65795846 0.41604899 0.47611975 0.66328214 0.8336467
 0.91559226 0.88283955 0.74054673]",0.9409723387744146,8.870596885681152,614.1846387386322
GenBank,CNNLSTMNet_GenBank_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Test,[16064 12261  6283  8451  8153  5760  3981 10230 12468],[20509 25984 10733 21585 10553  9500  4616  8759  9089],[118938 157731 171306 168273 179122 181530 193647 172203 175754],[49468  9003 16657  6670  7151  8189  2735 13787  7668],"[0.65861381 0.82931422 0.86637656 0.86215661 0.91363018 0.91370335
 0.96413779 0.89000824 0.91825016]","[0.24513215 0.57660835 0.2738884  0.55889161 0.53273654 0.41293283
 0.59276355 0.42594829 0.61918951]","[0.43923113 0.32059093 0.36924071 0.28136237 0.43584946 0.3774574
 0.46306851 0.53873295 0.57837361]","[0.8529262  0.85856354 0.94104011 0.88630977 0.94436273 0.95026959
 0.97671779 0.95159757 0.95082854]","[0.31465648 0.41207212 0.31449595 0.37429413 0.47944722 0.39439899
 0.51995037 0.47574757 0.59808601]",0.8383775942747662,9.78765082359314,614.1846387386322
GenBank,CNNNet_GenBank_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Train,[99155 46168 47537 57458 64910 78485 79980 81415 69813],[62017 12014 22477 30868 21133 17025  5215  7474 25918],[625397 734716 721846 707405 722459 726802 736330 733045 720355],[42493 36164 37202 33331 20560  6750  7537  7128 12976],"[0.87394188 0.94188854 0.92801624 0.9225643  0.94971064 0.97132301
 0.98461876 0.98238732 0.95308674]","[0.70000988 0.56075402 0.56098137 0.63287403 0.75944776 0.92080718
 0.91387959 0.91949674 0.8432642 ]","[0.61521232 0.79351002 0.67896421 0.65052193 0.75439025 0.82174641
 0.93878749 0.91591761 0.7292622 ]","[0.90978217 0.98391119 0.96980209 0.95818891 0.97157984 0.97711161
 0.99296739 0.98990708 0.96527008]","[0.65487748 0.65713025 0.61435966 0.64157664 0.75691055 0.86846109
 0.9261661  0.91770368 0.78213085]",0.9582165927846158,15.708935260772705,140.39345693588257
