Dataset,NetworkName,Encoding,1st Hidden Units,2nd Hidden Units,3rd Hidden Units,Window Size,Padding,Batch Size,LR,Epochs,ML_Dataset,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Recall,Precision,Specificity,F1 score,AUROC,Test Run Time (s),Train time (s)

RefSeq,LSTMNet_RefSeq_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Train,[172077  35809  37336  61290  48147  11324  21561  25069  64493],[103304  30803  58000  27219  39901   5252  11059  10762  33411],[432247 675167 650587 669800 661066 769724 759175 751483 685576],[89189 55038 50894 38508 47703 10517  5022  9503 13337],"[0.75842257 0.89227012 0.86333876 0.91751306 0.89005757 0.98021001
 0.97981845 0.97456756 0.94133157]","[0.65862761 0.39416822 0.42316672 0.61414056 0.50231612 0.51847443
 0.81108227 0.72512438 0.82863934]","[0.62486882 0.53757581 0.39162541 0.69247195 0.54682673 0.68315637
 0.66097486 0.69964556 0.65873713]","[0.80710707 0.95636783 0.91814696 0.96094941 0.94307721 0.99322302
 0.98564203 0.98588118 0.95353045]","[0.64130425 0.45483586 0.40678557 0.65095828 0.52362723 0.58953068
 0.72837525 0.71215715 0.73398432]",0.9221436835186295,47.987114667892456,624.5181956291199

RefSeq,LSTMNet_RefSeq_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Validation,[43480  7959  8132  5614  5956   962  2120  6524 13142],[42557  9731 17859  9142 12222  1342  3352  3364 11521],[ 96890 173984 164180 180716 177453 189688 194911 177598 173322],[22052 13305 14808  9507  9348 12987  4596 17493  6994],"[0.68480186 0.88761776 0.84063246 0.90901995 0.89476971 0.93009528
 0.9612253  0.89824811 0.90967367]","[0.66349264 0.37429458 0.35448997 0.37127174 0.3891793  0.06896552
 0.31566409 0.27164092 0.6526619 ]","[0.50536397 0.44991521 0.31287753 0.38045541 0.32764881 0.41753472
 0.3874269  0.65978964 0.53286299]","[0.69481595 0.94703209 0.90189465 0.95184822 0.93556346 0.99297493
 0.98309316 0.98141046 0.93767143]","[0.5737321  0.40863583 0.33238642 0.37580748 0.35577325 0.11837815
 0.34788316 0.38483999 0.58670952]",0.8433946982974195,7.953429222106934,624.5181956291199

RefSeq,LSTMNet_RefSeq_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Test,[25114  8599  8869  5679 10148  5462 10100 11047 13717],[43873  8139 23831 10333 20656  3370  2427  2282 11116],[129269 195410 176801 195146 181551 201004 199582 202427 190879],[26506 12614 15261 13604 12407 14926 12653  9006  9050],"[0.68687323 0.90766678 0.8260738  0.89350068 0.85289773 0.91859834
 0.93290681 0.94977799 0.91027843]","[0.48651685 0.40536463 0.36755077 0.29450812 0.44992241 0.26790269
 0.44389751 0.55089014 0.60249484]","[0.3640396  0.51374119 0.27122324 0.3546715  0.32943774 0.61843297
 0.80625848 0.82879436 0.55236983]","[0.74660683 0.96001454 0.88122034 0.94971262 0.89784726 0.98351062
 0.98798568 0.98885247 0.94496893]","[0.41646007 0.45316329 0.31212388 0.32180195 0.38036695 0.37385352
 0.57256236 0.66185369 0.57634454]",0.8431464613711266,9.295883178710938,624.5181956291199

RefSeq,CNNLSTMNet_RefSeq_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Train,[193072  32116  31043  65193  70145  12927  20549  17002  56178],[131119  20973  31354  15719  65198   2539  12130   4135  15425],[404432 684997 677233 681300 635769 772437 758104 758110 703562],[68194 58731 57187 34605 25705  8914  6034 17570 21652],"[0.74986352 0.89997201 0.88888164 0.93684372 0.88591734 0.98562656
 0.9772043  0.97276037 0.95346861]","[0.73898632 0.35351745 0.35184178 0.65324956 0.73182055 0.5918685
 0.77301283 0.49178526 0.72180393]","[0.59555015 0.60494641 0.49750789 0.80572721 0.51827579 0.83583344
 0.62881361 0.80437148 0.78457607]","[0.75516991 0.97029194 0.95575138 0.97744825 0.90698849 0.99672377
 0.98425154 0.99457523 0.9785462 ]","[0.65955997 0.44625389 0.41218374 0.72152067 0.60680903 0.69300667
 0.69349668 0.61038611 0.75188211]",0.934545517091786,62.21319913864136,656.0296335220337

RefSeq,CNNLSTMNet_RefSeq_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Validation,[48721  7224  6164  5498  9492   711  2134  3708 10871],[51304  7229 12359  6450 20151  1330  3655  1173  6805],[ 88143 176486 169680 183408 169524 189700 194608 179789 178038],[16811 14040 16776  9623  5812 13238  4582 20309  9265],"[0.66769767 0.89623815 0.85786349 0.92158709 0.87333824 0.9289293
 0.9598154  0.89519902 0.92160173]","[0.74346884 0.33972912 0.26870096 0.36360029 0.62023001 0.0509714
 0.31774866 0.15439064 0.53987882]","[0.48708823 0.49982703 0.33277547 0.4601607  0.32021051 0.34835865
 0.36863016 0.75968039 0.61501471]","[0.63208961 0.96065101 0.93210795 0.96602724 0.89376038 0.99303774
 0.98156489 0.99351798 0.96318497]","[0.5885707  0.40451326 0.29732533 0.40622114 0.42236412 0.08893058
 0.34130348 0.25662676 0.57500264]",0.845221385529134,12.253114461898804,656.0296335220337
