Dataset,NetworkName,Encoding,1st Hidden Units,2nd Hidden Units,3rd Hidden Units,Window Size,Padding,Batch Size,LR,Epochs,ML_Dataset,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Recall,Precision,Specificity,F1 score,AUROC,Test Run Time (s),Train time (s)
Dataset,NetworkName,Encoding,1st Hidden Units,2nd Hidden Units,3rd Hidden Units,Window Size,Padding,Batch Size,LR,Epochs,ML_Dataset,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Recall,Precision,Specificity,F1 score,AUROC,Test Run Time (s),Train time (s)
RefSeq,LSTMNet_RefSeq_CAT_2_16_3_0_0,CAT,256,16,0,1,0,512,0.001,10,Train,[237258  47555  85438  99525  94215  21737  26567  34553  77425],[43779 14870  5115  1299  4228   107  1086  1117   943],[491772 691100 703472 695720 696739 774869 769148 761128 718044],[24008 43292  2792   273  1635   104    16    19   405],"[0.91492777 0.92700708 0.99007677 0.99802715 0.99264197 0.9997352
 0.998617   0.99857433 0.99830827]","[0.90810898 0.52346252 0.96835543 0.99726447 0.9829421  0.99523831
 0.99939811 0.99945042 0.99479635]","[0.84422336 0.76179415 0.94351374 0.98711616 0.95705129 0.99510163
 0.96072759 0.96868517 0.98796703]","[0.91825428 0.97893678 0.99278141 0.99813635 0.99396833 0.99986193
 0.99859004 0.99853459 0.99868843]","[0.87500161 0.62053082 0.9557732  0.99216437 0.96982393 0.99516997
 0.97968139 0.98382734 0.99136993]",0.9912548790536443,338.96362257003784,9396.600688934326
RefSeq,LSTMNet_RefSeq_CAT_2_16_3_0_0,CAT,256,16,0,1,0,512,0.001,10,Validation,[56703  8149  5118   972  3390   506  1123  2343  3080],[88821 10758  8852  2252  8081   255  1686   758  2132],[ 50626 172957 173187 187606 181594 190775 196577 180204 182711],[ 8829 13115 17822 14149 11914 13443  5593 21674 17056],"[0.52360974 0.88353441 0.8698696  0.91998693 0.90245342 0.93317364
 0.96448905 0.8905644  0.90639041]","[0.86527193 0.38322987 0.22310375 0.06428146 0.22151072 0.036275
 0.16721263 0.0975559  0.15295987]","[0.38964707 0.43100439 0.36635648 0.30148883 0.29552785 0.66491459
 0.3997864  0.75556272 0.59094398]","[0.36304833 0.94144191 0.95137306 0.9881385  0.95739555 0.99866513
 0.99149614 0.99581128 0.98846589]","[0.53732659 0.40571557 0.27732322 0.10596893 0.25322129 0.06879674
 0.23580052 0.17280035 0.2430172 ]",0.7843656173414753,85.82445931434631,9396.600688934326
RefSeq,LSTMNet_RefSeq_CAT_2_16_3_0_0,CAT,256,16,0,1,0,512,0.001,10,Test,[41163 10511  9721  4992  6552  8200  5578  4352  5898],[94187  9080 11746  2700  5564   570  1073   765  2110],[ 78955 194469 188886 202779 196643 203804 200936 203944 199885],[10457 10702 14409 14291 16003 12188 17175 15701 16869],"[0.53442308 0.9119869  0.88363246 0.92440448 0.90404517 0.94323774
 0.9188119  0.92674029 0.91555957]","[0.79742348 0.49549804 0.40285951 0.25888088 0.29048991 0.40219737
 0.24515449 0.21702488 0.25905916]","[0.30412264 0.53652187 0.45283458 0.64898596 0.54077253 0.9350057
 0.83867088 0.85049834 0.73651349]","[0.45601298 0.95539158 0.941455   0.98685997 0.97248364 0.997211
 0.99468836 0.99626299 0.9895542 ]","[0.44031663 0.51519459 0.4263877  0.37012048 0.37795276 0.56245284
 0.37940416 0.3458085  0.38329813]",0.8422706459361208,94.01283264160156,9396.600688934326
RefSeq,LSTMNet_RefSeq_CAT_2_32_3_0_0,CAT,256,32,0,1,0,512,0.001,10,Train,[245654  49077  85776  99621  93614  21820  26512  34522  77708],[43058 10770  3964   778  2540    67    73   275   988],[492493 695200 704623 696241 698427 774909 770161 761970 717999],[15612 41770  2454   177  2236    21    71    50   122],"[0.92636954 0.93406265 0.99194545 0.99880148 0.99400615 0.99988956
 0.99981928 0.99959213 0.99860696]","[0.94024481 0.54021597 0.97218633 0.99822642 0.97667188 0.99903851
 0.99732912 0.99855374 0.99843248]","[0.85086176 0.8200411  0.95582795 0.99225092 0.97358404 0.99693882
 0.99725409 0.99209702 0.98744536]","[0.91960056 0.98474439 0.99440577 0.99888382 0.99637643 0.99991355
 0.99990522 0.99963922 0.99862584]","[0.89332301 0.65134644 0.96393774 0.9952297  0.97512552 0.99798756
 0.9972916  0.99531491 0.99290853]",0.9935257871877862,347.41586327552795,9652.549221277237
RefSeq,LSTMNet_RefSeq_CAT_2_32_3_0_0,CAT,256,32,0,1,0,512,0.001,10,Validation,[58523  7516  5349   685  2850   884   221  1508  2668],[97952  9133  6971  2034  5320   328   374   363  2300],[ 41495 174582 175068 187824 184355 190702 197889 180599 182543],[ 7009 13748 17591 14436 12454 13065  6495 22509 17468],"[0.48794267 0.88837393 0.88017309 0.91965031 0.91328868 0.9346616
 0.96648925 0.88841784 0.90356085]","[0.89304462 0.35346125 0.2331735  0.04530124 0.18622582 0.06337372
 0.03290649 0.06278886 0.13249901]","[0.37400863 0.45143852 0.43417208 0.25193086 0.34883721 0.72937294
 0.37142857 0.8059861  0.53703704]","[0.29756825 0.95028713 0.96170601 0.98928673 0.97195202 0.99828299
 0.99811362 0.99799405 0.98755701]","[0.52721761 0.39648669 0.30340329 0.07679372 0.24282185 0.116615
 0.06045685 0.11650185 0.21255577]",0.7833628530368532,88.03766894340515,9652.549221277237
RefSeq,LSTMNet_RefSeq_CAT_2_32_3_0_0,CAT,256,32,0,1,0,512,0.001,10,Test,[43220 10221  9638  5031  5790  9416  2895  2960  5719],[104179   7499   7404   2987   4356    613    313    282   2239],[ 68963 196050 193228 202492 197851 203761 201696 204427 199756],[ 8400 10992 14492 14252 16765 10972 19858 17093 17048],"[0.49911907 0.91773076 0.9025814  0.92330109 0.90602949 0.94845659
 0.91025618 0.92269601 0.91418923]","[0.83727238 0.48182718 0.39941981 0.26090339 0.25670583 0.4618403
 0.12723597 0.14760884 0.25119691]","[0.29321773 0.57680587 0.56554395 0.62746321 0.57066824 0.93887726
 0.90243142 0.91301666 0.7186479 ]","[0.39830313 0.96315875 0.96309661 0.98546323 0.97845772 0.9970006
 0.99845056 0.99862243 0.98891557]","[0.43433039 0.52505587 0.46818226 0.36855793 0.35411761 0.61912746
 0.22302685 0.25413179 0.37227014]",0.8423297886057256,96.63597416877747,9652.549221277237
RefSeq,LSTMNet_RefSeq_CAT_2_64_3_0_0,CAT,256,64,0,1,0,512,0.001,10,Train,[238819  65698  84945  99671  94901  21835  26565  34564  77771],[26129 18230  2144   506  3705    63    82   580   609],[509422 687740 706443 696513 697262 774913 770152 761665 718378],[22447 25149  3285   127   949     6    18     8    59],"[0.93903745 0.94555965 0.99318664 0.99920559 0.99415926 0.99991341
 0.9998745  0.99926206 0.99916166]","[0.91408373 0.72317193 0.96276777 0.99872743 0.99009911 0.99972529
 0.99932288 0.9997686  0.99924194]","[0.90138065 0.78279001 0.97538151 0.99494894 0.96242622 0.99712302
 0.99692273 0.98349647 0.99223016]","[0.951211   0.97417737 0.99697426 0.99927405 0.99471444 0.99991871
 0.99989354 0.99923909 0.99915297]","[0.90768775 0.75180089 0.96903359 0.9968346  0.97606657 0.99842246
 0.99812136 0.99156578 0.99572371]",0.9950145654419857,366.00283908843994,10351.891854524612
RefSeq,LSTMNet_RefSeq_CAT_2_64_3_0_0,CAT,256,64,0,1,0,512,0.001,10,Validation,[54954 10453  5265  1099  4366   786   514  3122  4283],[81967 15493  7318  2467  8155   419   969   945  2404],[ 57480 168222 174721 187391 181520 190611 197294 180017 182439],[10578 10811 17675 14022 10938 13163  6202 20895 15853],"[0.54851473 0.87167466 0.87807044 0.91955761 0.90685387 0.93373955
 0.96501593 0.8934525  0.91093234]","[0.83858268 0.49158202 0.22951177 0.07268038 0.28528489 0.05634813
 0.07653365 0.12999126 0.21270362]","[0.40135553 0.4028752  0.41842168 0.30818845 0.34869419 0.65228216
 0.34659474 0.767642   0.64049649]","[0.41219962 0.91566829 0.95979982 0.98700608 0.9570054  0.99780663
 0.99511255 0.99477791 0.98699437]","[0.54288156 0.44282991 0.29642767 0.11762188 0.31381851 0.10373499
 0.12538114 0.222333   0.31935279]",0.8072439387189402,92.77481436729431,10351.891854524612
RefSeq,LSTMNet_RefSeq_CAT_2_64_3_0_0,CAT,256,64,0,1,0,512,0.001,10,Test,[40338 13320  9899  5581  8385 11096  4015  5352  7305],[85877 12828  8041  2473  6528   586   443   644  2051],[ 87265 190721 192591 203006 195679 203788 201566 204065 199944],[11282  7893 14231 13702 14170  9292 18738 14701 15462],"[0.56772497 0.90780915 0.90090852 0.92803499 0.90791148 0.95605129
 0.91466084 0.93172778 0.92208202]","[0.7814413  0.62791684 0.41023622 0.28942592 0.37175793 0.54424171
 0.17646025 0.26689273 0.32085914]","[0.31959751 0.50940799 0.55178372 0.6929476  0.56226111 0.94983736
 0.90062808 0.89259506 0.78078239]","[0.50400827 0.93697832 0.95992165 0.98796471 0.96771625 0.99713271
 0.99780703 0.99685407 0.98984628]","[0.45365648 0.56248812 0.47059662 0.40831108 0.44758194 0.69198628
 0.29510125 0.41091789 0.45481431]",0.8668322567980332,101.78666496276855,10351.891854524612
